# time_ns temp_K pressure_bar volume_A3 kinetic potential total
8.800000000000000044e-01 2.907513999999999896e+02 -1.515334000000000003e+02 2.646826415000000270e+05 1.801456049999999959e+04 -4.666206689999999799e+04 -2.864750639999999839e+04
8.999999999999999112e-01 2.878077999999999861e+02 1.041739000000000033e+02 2.640339903000000049e+05 1.783217459999999846e+04 -4.679628809999999794e+04 -2.896411349999999948e+04
9.199999999999999289e-01 2.890722000000000094e+02 -4.430473999999999819e+02 2.650244064999999828e+05 1.791051780000000144e+04 -4.650078139999999985e+04 -2.859026369999999952e+04
9.399999999999999467e-01 2.894689000000000192e+02 -6.404678999999999860e+02 2.646041114999999991e+05 1.793509430000000066e+04 -4.667927640000000247e+04 -2.874418210000000181e+04
9.599999999999999645e-01 2.896720000000000255e+02 -5.011827000000000112e+02 2.639734835999999777e+05 1.794767699999999968e+04 -4.674254649999999674e+04 -2.879486950000000070e+04
9.799999999999999822e-01 2.882758000000000038e+02 -8.311740000000000350e+01 2.642062997999999789e+05 1.786117209999999977e+04 -4.677276890000000276e+04 -2.891159679999999935e+04
1.000000000000000000e+00 2.934171000000000049e+02 -9.765890000000000271e+01 2.639460851000000257e+05 1.817972169999999824e+04 -4.685732820000000356e+04 -2.867760650000000169e+04
1.020000000000000018e+00 2.896752000000000180e+02 -4.401749999999999829e+01 2.648149459999999963e+05 1.794787889999999970e+04 -4.659030870000000141e+04 -2.864242980000000171e+04
1.040000000000000036e+00 2.883777999999999793e+02 -4.121616999999999962e+02 2.651572370000000228e+05 1.786749039999999877e+04 -4.671937460000000283e+04 -2.885188420000000042e+04
1.060000000000000053e+00 2.911487999999999943e+02 -4.932549999999999812e+01 2.642000331000000006e+05 1.803918089999999938e+04 -4.678201099999999860e+04 -2.874283009999999922e+04
1.079999999999999849e+00 2.928050000000000068e+02 -1.937246000000000095e+02 2.640110899000000209e+05 1.814179829999999856e+04 -4.691818480000000272e+04 -2.877638650000000052e+04
1.099999999999999867e+00 2.899402999999999793e+02 -2.118581000000000074e+02 2.645231395999999950e+05 1.796430570000000080e+04 -4.652174410000000353e+04 -2.855743839999999909e+04
1.119999999999999885e+00 2.933473999999999933e+02 -3.823355999999999995e+02 2.641528538999999873e+05 1.817540230000000156e+04 -4.653777590000000055e+04 -2.836237359999999899e+04
1.139999999999999902e+00 2.936947000000000116e+02 -3.731843000000000075e+02 2.652871031000000075e+05 1.819692050000000017e+04 -4.669384229999999661e+04 -2.849692180000000008e+04
1.159999999999999920e+00 2.916469999999999914e+02 -9.077859999999999729e+01 2.645751389000000199e+05 1.807004690000000119e+04 -4.678772340000000258e+04 -2.871767640000000029e+04
1.179999999999999938e+00 2.887123000000000275e+02 -7.079900000000000304e+00 2.642584479000000283e+05 1.788821779999999853e+04 -4.668505670000000100e+04 -2.879683880000000136e+04
1.199999999999999956e+00 2.916277999999999793e+02 1.446031999999999869e+02 2.652555800000000163e+05 1.806885640000000058e+04 -4.642311970000000292e+04 -2.835426329999999871e+04
1.219999999999999973e+00 2.894350000000000023e+02 9.294100000000000250e+01 2.640682926999999909e+05 1.793299859999999899e+04 -4.697348920000000362e+04 -2.904049060000000100e+04
1.239999999999999991e+00 2.919913000000000238e+02 -1.129057999999999993e+02 2.637906731000000145e+05 1.809137989999999991e+04 -4.688409010000000126e+04 -2.879271029999999882e+04
1.260000000000000009e+00 2.886856000000000222e+02 -2.738346000000000231e+02 2.642534109000000171e+05 1.788656169999999838e+04 -4.669793280000000232e+04 -2.881137099999999919e+04
1.280000000000000027e+00 2.882203999999999837e+02 6.868299999999999628e+00 2.651658941999999806e+05 1.785773779999999897e+04 -4.666158840000000055e+04 -2.880385060000000158e+04
1.300000000000000044e+00 2.897133000000000038e+02 2.944800000000000182e+02 2.645845290999999852e+05 1.795023700000000099e+04 -4.647684440000000177e+04 -2.852660740000000078e+04
1.319999999999999840e+00 2.923978000000000179e+02 2.456413000000000011e+02 2.636622682999999961e+05 1.811656560000000172e+04 -4.681043319999999949e+04 -2.869386769999999888e+04
1.339999999999999858e+00 2.903165999999999940e+02 -1.569909999999999961e+01 2.648126608000000124e+05 1.798762090000000171e+04 -4.678717790000000241e+04 -2.879955700000000070e+04
1.359999999999999876e+00 2.884520999999999731e+02 -2.245472000000000037e+02 2.643271272999999928e+05 1.787209709999999905e+04 -4.651076329999999871e+04 -2.863866619999999966e+04
1.379999999999999893e+00 2.900670000000000073e+02 -1.891329000000000065e+02 2.637075476999999955e+05 1.797215069999999832e+04 -4.676725989999999729e+04 -2.879510910000000149e+04
1.399999999999999911e+00 2.893985000000000127e+02 -3.446639999999999873e+02 2.634806552999999840e+05 1.793073540000000139e+04 -4.652587490000000253e+04 -2.859513950000000114e+04
1.419999999999999929e+00 2.890543000000000120e+02 4.331969999999999743e+01 2.643311618000000017e+05 1.790940550000000076e+04 -4.669576720000000205e+04 -2.878636170000000129e+04
1.439999999999999947e+00 2.884254000000000246e+02 1.137322000000000060e+02 2.627844625000000233e+05 1.787044060000000172e+04 -4.719430460000000312e+04 -2.932386400000000140e+04
1.459999999999999964e+00 2.877402000000000157e+02 -5.058200000000000074e+01 2.641531866000000155e+05 1.782798800000000119e+04 -4.687184389999999985e+04 -2.904385589999999866e+04
1.479999999999999982e+00 2.891634000000000242e+02 -2.250012000000000114e+02 2.639894927000000025e+05 1.791616470000000118e+04 -4.688958699999999953e+04 -2.897342229999999836e+04
1.500000000000000000e+00 2.881177999999999884e+02 1.671094999999999970e+02 2.632994322999999858e+05 1.785138179999999920e+04 -4.675481199999999808e+04 -2.890343019999999888e+04
