# t_ps C_rot pair_count t0_count label="$10$-$15\,\AA$" color="#56A0D3" temp="297.5"
0.000000000000000000e+00 1.000000000000000000e+00 1.930080000000000000e+05 5.000000000000000000e+02
2.000000000000000111e-01 8.118002302171236639e-01 1.718830000000000000e+05 4.990000000000000000e+02
4.000000000000000222e-01 7.267248363833671565e-01 1.640710000000000000e+05 4.980000000000000000e+02
6.000000000000000888e-01 6.607708539936265613e-01 1.591440000000000000e+05 4.970000000000000000e+02
8.000000000000000444e-01 6.031556587052228080e-01 1.551900000000000000e+05 4.960000000000000000e+02
1.000000000000000000e+00 5.521099136721382417e-01 1.518640000000000000e+05 4.950000000000000000e+02
1.200000000000000178e+00 5.048790775625014993e-01 1.489990000000000000e+05 4.940000000000000000e+02
1.400000000000000133e+00 4.620527805516200237e-01 1.463170000000000000e+05 4.930000000000000000e+02
1.600000000000000089e+00 4.236746886669071621e-01 1.437980000000000000e+05 4.920000000000000000e+02
1.800000000000000044e+00 3.891097176129581503e-01 1.416240000000000000e+05 4.910000000000000000e+02
2.000000000000000000e+00 3.572777052669182107e-01 1.396070000000000000e+05 4.900000000000000000e+02
2.200000000000000178e+00 3.286121547840183399e-01 1.375520000000000000e+05 4.890000000000000000e+02
2.400000000000000355e+00 3.030114525068752229e-01 1.356220000000000000e+05 4.880000000000000000e+02
2.600000000000000089e+00 2.800432609269476458e-01 1.337330000000000000e+05 4.870000000000000000e+02
2.800000000000000266e+00 2.581934040607470893e-01 1.319860000000000000e+05 4.860000000000000000e+02
3.000000000000000000e+00 2.394745258110592412e-01 1.303450000000000000e+05 4.850000000000000000e+02
3.200000000000000178e+00 2.216204728653963785e-01 1.287710000000000000e+05 4.840000000000000000e+02
3.400000000000000355e+00 2.043541009559049215e-01 1.271870000000000000e+05 4.830000000000000000e+02
3.600000000000000089e+00 1.875195770295097208e-01 1.258050000000000000e+05 4.820000000000000000e+02
3.800000000000000266e+00 1.737641744626476636e-01 1.243430000000000000e+05 4.810000000000000000e+02
4.000000000000000000e+00 1.617309329040003962e-01 1.229840000000000000e+05 4.800000000000000000e+02
4.200000000000000178e+00 1.497218657282438636e-01 1.216050000000000000e+05 4.790000000000000000e+02
4.400000000000000355e+00 1.383261824419711461e-01 1.203070000000000000e+05 4.780000000000000000e+02
4.600000000000000533e+00 1.273029359373043512e-01 1.189920000000000000e+05 4.770000000000000000e+02
4.800000000000000711e+00 1.182306031788640105e-01 1.178070000000000000e+05 4.760000000000000000e+02
5.000000000000000000e+00 1.097242693261939184e-01 1.166480000000000000e+05 4.750000000000000000e+02
5.200000000000000178e+00 1.026351470791506404e-01 1.155810000000000000e+05 4.740000000000000000e+02
5.400000000000000355e+00 9.712831182666659124e-02 1.145180000000000000e+05 4.730000000000000000e+02
5.600000000000000533e+00 9.078396551675887993e-02 1.134940000000000000e+05 4.720000000000000000e+02
5.800000000000000711e+00 8.463295170005950829e-02 1.123800000000000000e+05 4.710000000000000000e+02
6.000000000000000000e+00 7.994029606139806121e-02 1.112760000000000000e+05 4.700000000000000000e+02
6.200000000000000178e+00 7.502250044586215860e-02 1.102350000000000000e+05 4.690000000000000000e+02
6.400000000000000355e+00 7.021854113417390353e-02 1.092450000000000000e+05 4.680000000000000000e+02
6.600000000000000533e+00 6.747849293430398243e-02 1.083910000000000000e+05 4.670000000000000000e+02
6.800000000000000711e+00 6.385561013569825140e-02 1.075150000000000000e+05 4.660000000000000000e+02
7.000000000000000000e+00 6.040024280241878402e-02 1.065340000000000000e+05 4.650000000000000000e+02
7.200000000000000178e+00 5.699647914662513831e-02 1.056740000000000000e+05 4.640000000000000000e+02
7.400000000000000355e+00 5.452422137613707753e-02 1.048380000000000000e+05 4.630000000000000000e+02
7.600000000000000533e+00 5.259073058856194444e-02 1.040030000000000000e+05 4.620000000000000000e+02
7.800000000000000711e+00 4.860384616931087698e-02 1.032630000000000000e+05 4.610000000000000000e+02
8.000000000000000000e+00 4.449987203008584635e-02 1.025040000000000000e+05 4.600000000000000000e+02
8.200000000000001066e+00 4.136030136897773934e-02 1.017740000000000000e+05 4.590000000000000000e+02
8.400000000000000355e+00 3.932670738198836002e-02 1.010850000000000000e+05 4.580000000000000000e+02
8.599999999999999645e+00 3.794718502954273071e-02 1.004650000000000000e+05 4.570000000000000000e+02
8.800000000000000711e+00 3.604521394603401457e-02 9.974700000000000000e+04 4.560000000000000000e+02
9.000000000000000000e+00 3.489197126210100142e-02 9.906200000000000000e+04 4.550000000000000000e+02
9.200000000000001066e+00 3.206469022489765591e-02 9.835900000000000000e+04 4.540000000000000000e+02
9.400000000000000355e+00 2.967375126241635075e-02 9.767000000000000000e+04 4.530000000000000000e+02
9.600000000000001421e+00 2.810936268432006821e-02 9.696800000000000000e+04 4.520000000000000000e+02
9.800000000000000711e+00 2.760785001623497145e-02 9.628500000000000000e+04 4.510000000000000000e+02
1.000000000000000000e+01 2.602236627574364483e-02 9.557800000000000000e+04 4.500000000000000000e+02
