dt_ps,VACF
1.900000000000000000e+03,-4.831380189232910294e-03
1.920000000000000000e+03,1.227119207280183075e-03
1.940000000000000000e+03,5.019809199254680540e-03
1.960000000000000000e+03,-5.341300602267044393e-04
1.980000000000000000e+03,-1.531153409362669138e-03
2.000000000000000000e+03,3.485198031953681136e-03
2.020000000000000000e+03,-8.097361427836357119e-09
2.040000000000000000e+03,-3.675216798442518511e-03
2.060000000000000000e+03,-1.033360216708248880e-03
2.080000000000000000e+03,1.111825249710472584e-04
2.100000000000000000e+03,-3.636397557247835963e-03
2.120000000000000000e+03,-1.674823919894016192e-03
2.140000000000000000e+03,4.974961317346918675e-03
2.160000000000000000e+03,3.717319575453087270e-03
2.180000000000000000e+03,-2.784390821702988940e-03
2.200000000000000000e+03,-2.608572375887316906e-03
2.220000000000000000e+03,5.465880251308168070e-03
2.240000000000000000e+03,4.100739795691159609e-03
2.260000000000000000e+03,-5.082441806927380859e-03
2.280000000000000000e+03,-2.875856942737819652e-03
2.300000000000000000e+03,-1.043135483161889993e-03
2.320000000000000000e+03,-1.344695088231573007e-03
2.340000000000000000e+03,2.135640008284594646e-03
2.360000000000000000e+03,4.685214800637818242e-03
2.380000000000000000e+03,1.274808312506797020e-03
2.400000000000000000e+03,-6.953585664929083990e-03
2.420000000000000000e+03,-1.243518771323047847e-03
2.440000000000000000e+03,7.037436891481723723e-03
2.460000000000000000e+03,-1.222986360694735923e-03
2.480000000000000000e+03,-6.056273904126057914e-03
2.500000000000000000e+03,2.449779678980177223e-03
2.520000000000000000e+03,3.621790921876173221e-03
2.540000000000000000e+03,-1.680359049114613828e-03
2.560000000000000000e+03,-2.381845130228607034e-03
2.580000000000000000e+03,-1.861621635150768504e-03
2.600000000000000000e+03,1.047514534667515380e-03
2.620000000000000000e+03,3.469775296499420965e-03
2.640000000000000000e+03,-5.444938935577154021e-04
2.660000000000000000e+03,-1.646059819180957723e-03
2.680000000000000000e+03,3.194715497715673678e-03
2.700000000000000000e+03,-2.166548430342796466e-03
2.720000000000000000e+03,-3.932592407409048717e-03
2.740000000000000000e+03,3.124255943186032575e-03
2.760000000000000000e+03,-1.962430278247111746e-04
2.780000000000000000e+03,-5.239294324478991228e-04
2.800000000000000000e+03,5.057890835733459215e-04
2.820000000000000000e+03,-2.305770010638486574e-03
2.840000000000000000e+03,3.160827819513328026e-03
2.860000000000000000e+03,2.369706275606980449e-03
2.880000000000000000e+03,-7.051909575536898390e-04
2.900000000000000000e+03,2.680421558475898879e-03
2.920000000000000000e+03,-8.245882442188303936e-04
2.940000000000000000e+03,-1.748772103604933443e-03
2.960000000000000000e+03,-6.349008330563158612e-04
2.980000000000000000e+03,-3.230937373730346281e-03
3.000000000000000000e+03,-4.244268187180140028e-04
3.020000000000000000e+03,3.756086980469286983e-03
3.040000000000000000e+03,-1.314623431895830304e-03
3.060000000000000000e+03,-4.311088917594980280e-03
3.080000000000000000e+03,4.285654865045129998e-03
3.100000000000000000e+03,1.467345981240588239e-03
3.120000000000000000e+03,-2.370567203056184354e-03
3.140000000000000000e+03,2.377376262268468283e-03
3.160000000000000000e+03,-2.127806469319042251e-05
3.180000000000000000e+03,-2.510160570636213190e-03
3.200000000000000000e+03,-3.464230565861562902e-03
3.220000000000000000e+03,1.395017658417484511e-03
3.240000000000000000e+03,4.939570744056673811e-03
3.260000000000000000e+03,1.204519736128552678e-03
3.280000000000000000e+03,-3.106883344938946283e-03
3.300000000000000000e+03,-4.427104321485433175e-04
3.320000000000000000e+03,5.250902794915533571e-03
3.340000000000000000e+03,-1.198075316270947634e-03
3.360000000000000000e+03,-5.547910444691871515e-03
3.380000000000000000e+03,2.604093853859685464e-04
3.400000000000000000e+03,8.732483835768729483e-03
3.420000000000000000e+03,2.714950470436549353e-03
3.440000000000000000e+03,-1.047454494879744395e-02
3.460000000000000000e+03,-2.861221956128996453e-03
3.480000000000000000e+03,4.072768379533697920e-03
3.500000000000000000e+03,4.471280380570658323e-04
3.520000000000000000e+03,1.099590933781901961e-03
3.540000000000000000e+03,1.498508949580982001e-04
3.560000000000000000e+03,-1.461202238219816256e-03
3.580000000000000000e+03,-7.896657884981689345e-04
3.600000000000000000e+03,-1.018294115957828075e-03
3.620000000000000000e+03,-9.296221931595164420e-04
3.640000000000000000e+03,3.627332699955667142e-04
3.660000000000000000e+03,1.993530974373482157e-04
3.680000000000000000e+03,1.421931887981219131e-03
3.700000000000000000e+03,3.096409779362345981e-03
3.720000000000000000e+03,-5.015689613290346392e-05
3.740000000000000000e+03,-3.398551159592120858e-03
3.760000000000000000e+03,-3.929934582508979798e-03
3.780000000000000000e+03,9.349952129871699899e-04
3.800000000000000000e+03,5.142539602666806008e-03
3.820000000000000000e+03,2.272411455095905627e-03
3.840000000000000000e+03,-1.507755326251926137e-04
3.860000000000000000e+03,-3.688650129927432064e-05
3.880000000000000000e+03,-2.193422401952058436e-03
3.900000000000000000e+03,-3.216059249338245208e-03
3.920000000000000000e+03,-5.383572464449694079e-04
3.940000000000000000e+03,-6.118079457025423374e-04
3.960000000000000000e+03,2.079383191994888923e-03
3.980000000000000000e+03,2.779146221713989316e-03
4.000000000000000000e+03,-1.587771143383792010e-03
4.020000000000000000e+03,1.598262249108754274e-03
4.040000000000000000e+03,2.778714386094870321e-03
4.060000000000000000e+03,-4.521089670604885695e-03
4.080000000000000000e+03,-4.444324060742591877e-03
4.100000000000000000e+03,4.962847391793104735e-04
4.120000000000000000e+03,-3.578932787957113675e-04
4.140000000000000000e+03,1.246225022427177413e-03
4.160000000000000000e+03,6.017334204691178988e-03
4.180000000000000000e+03,3.126949762754845791e-03
4.200000000000000000e+03,-7.587580926792000802e-03
4.220000000000000000e+03,-5.850652090981028723e-03
4.240000000000000000e+03,5.855532881693472670e-03
4.260000000000000000e+03,1.056575241383384987e-03
4.280000000000000000e+03,-2.519345089749096267e-03
4.300000000000000000e+03,5.023674433538499046e-03
4.320000000000000000e+03,2.082827233819116615e-03
4.340000000000000000e+03,-4.546037086564083327e-03
4.360000000000000000e+03,-1.359752524007016910e-03
4.380000000000000000e+03,5.818361003394792452e-03
4.400000000000000000e+03,4.969603186388422446e-03
4.420000000000000000e+03,-5.754454633011396765e-03
4.440000000000000000e+03,-7.364200291041861184e-03
4.460000000000000000e+03,1.860310553208965943e-04
4.480000000000000000e+03,3.224997434472326669e-04
4.500000000000000000e+03,4.118078234707193627e-03
4.520000000000000000e+03,3.389472955153392288e-03
4.540000000000000000e+03,-4.791385056868465234e-03
4.560000000000000000e+03,-3.179292259903395475e-03
4.580000000000000000e+03,4.062134469071240414e-03
4.600000000000000000e+03,3.624663272010312902e-03
4.620000000000000000e+03,-1.577557791021680931e-03
4.640000000000000000e+03,-6.756463982848022898e-04
4.660000000000000000e+03,4.026320429608698233e-04
4.680000000000000000e+03,-1.088465063668926300e-03
4.700000000000000000e+03,8.572677173064840572e-04
4.720000000000000000e+03,-3.357501647466765247e-03
4.740000000000000000e+03,-5.032627575850474530e-03
4.760000000000000000e+03,4.286956109903264193e-03
4.780000000000000000e+03,6.441934106765473921e-03
4.800000000000000000e+03,2.781208708925613816e-03
4.820000000000000000e+03,-2.179537497739508518e-03
4.840000000000000000e+03,-4.559189743540698579e-03
4.860000000000000000e+03,-3.413651385486359165e-03
4.880000000000000000e+03,2.977068223657288576e-04
4.900000000000000000e+03,2.845172552619451480e-03
4.920000000000000000e+03,7.435362955673008225e-04
4.940000000000000000e+03,-6.269072975969513205e-04
4.960000000000000000e+03,1.792912671864463608e-03
4.980000000000000000e+03,1.644116735336455509e-03
5.000000000000000000e+03,-4.237393925675912547e-03
5.020000000000000000e+03,-1.494482207220626177e-03
5.040000000000000000e+03,5.952622993184351029e-03
5.060000000000000000e+03,-1.778874915538223959e-03
5.080000000000000000e+03,-5.913002081363824200e-03
5.100000000000000000e+03,3.521575848769750543e-03
5.120000000000000000e+03,-2.193622360844969409e-04
5.140000000000000000e+03,-1.682505349739999052e-03
5.160000000000000000e+03,4.653354263233901861e-03
5.180000000000000000e+03,-2.024148767637005963e-03
5.200000000000000000e+03,-1.522137196270251800e-03
5.220000000000000000e+03,1.750649138333805520e-03
5.240000000000000000e+03,-2.244661055507389275e-03
5.260000000000000000e+03,-2.289402656227539762e-04
5.280000000000000000e+03,2.372439596233156221e-03
5.300000000000000000e+03,2.409892251550827761e-03
5.320000000000000000e+03,-3.539078513480578992e-04
5.340000000000000000e+03,-2.786889330318334068e-04
5.360000000000000000e+03,-1.307291339993574882e-03
5.380000000000000000e+03,-2.379126311932951328e-03
5.400000000000000000e+03,-7.510779604183781327e-04
5.420000000000000000e+03,-1.049518437589555238e-03
5.440000000000000000e+03,1.938732400251204878e-03
5.460000000000000000e+03,4.990207143519832279e-03
5.480000000000000000e+03,1.194477291621865106e-03
5.500000000000000000e+03,-1.931542508447193270e-03
5.520000000000000000e+03,-2.109259687706446090e-03
5.540000000000000000e+03,-3.109115374289163868e-03
5.560000000000000000e+03,3.241183015504949666e-03
5.580000000000000000e+03,1.997166955572234059e-03
5.600000000000000000e+03,-3.513724134898426384e-03
5.620000000000000000e+03,2.545081504530863196e-04
5.640000000000000000e+03,-1.506499369807950224e-03
5.660000000000000000e+03,-2.628875593688946664e-03
5.680000000000000000e+03,3.691866567065949130e-03
5.700000000000000000e+03,2.538765900667922740e-03
5.720000000000000000e+03,1.182137554514238334e-03
5.740000000000000000e+03,3.106871764435317762e-03
5.760000000000000000e+03,-3.355594003942378913e-03
5.780000000000000000e+03,-3.889627107549826351e-03
5.800000000000000000e+03,4.943091773775321095e-04
5.820000000000000000e+03,-1.437366076203360279e-03
5.840000000000000000e+03,2.298895605417411100e-03
5.860000000000000000e+03,3.395833700494959467e-04
5.880000000000000000e+03,-5.105194247334696525e-03
5.900000000000000000e+03,3.166512240530851112e-03
5.920000000000000000e+03,-3.325027876635696040e-04
5.940000000000000000e+03,-4.125518006319125672e-03
5.960000000000000000e+03,4.530408563462802116e-03
5.980000000000000000e+03,2.501608198497251405e-03
6.000000000000000000e+03,-2.051196853513656375e-03
6.020000000000000000e+03,8.386656268236313244e-05
6.040000000000000000e+03,4.458321742645513994e-03
6.060000000000000000e+03,2.326752961832194693e-03
