# t_ps C_rot
8.800000000000000044e-01 5.306097934189275833e-02
9.000000000000000222e-01 5.638468462647356488e-02
9.200000000000000400e-01 5.153806335722171256e-02
9.400000000000000577e-01 5.510210825710538940e-02
9.599999999999999645e-01 5.447256015025358361e-02
9.799999999999999822e-01 5.440318525947331063e-02
1.000000000000000000e+00 5.380447402055673484e-02
1.020000000000000018e+00 5.227250831553863913e-02
1.040000000000000036e+00 5.413678242573388699e-02
1.060000000000000053e+00 5.499843984169634076e-02
1.080000000000000071e+00 5.196297558904006131e-02
1.100000000000000089e+00 5.104199831810217469e-02
1.120000000000000107e+00 5.173083249084233642e-02
1.140000000000000124e+00 5.449371812498553930e-02
1.159999999999999920e+00 5.662208912338406036e-02
1.179999999999999938e+00 5.575756868566343616e-02
1.199999999999999956e+00 5.382987256440879137e-02
1.219999999999999973e+00 5.489456644429469012e-02
1.239999999999999991e+00 5.142654632817795363e-02
1.260000000000000009e+00 5.506883067952236116e-02
1.280000000000000027e+00 5.442972368069307065e-02
1.300000000000000044e+00 4.911114287213852458e-02
1.320000000000000062e+00 5.273722005661125173e-02
1.340000000000000080e+00 5.001893269283502752e-02
1.360000000000000098e+00 5.106894779739753337e-02
1.380000000000000115e+00 5.208118248919350879e-02
1.400000000000000133e+00 5.229166429931959154e-02
1.419999999999999929e+00 5.130892410998341008e-02
1.439999999999999947e+00 5.198967859897075244e-02
1.459999999999999964e+00 5.128380762876527665e-02
1.479999999999999982e+00 5.123016525129302917e-02
1.500000000000000000e+00 4.924055542678999753e-02
1.520000000000000018e+00 5.079450530867529040e-02
1.540000000000000036e+00 5.401981953171918621e-02
1.560000000000000053e+00 5.283876452105083082e-02
1.580000000000000071e+00 5.054508198261925545e-02
1.600000000000000089e+00 5.047051842670537136e-02
1.620000000000000107e+00 4.945246396184604237e-02
1.640000000000000124e+00 5.032825465119547537e-02
1.660000000000000142e+00 5.020287534901904380e-02
1.679999999999999938e+00 5.365128340051344286e-02
1.699999999999999956e+00 4.884873521879810193e-02
1.719999999999999973e+00 4.846810439948785743e-02
1.739999999999999991e+00 4.785380825767356766e-02
1.760000000000000009e+00 4.941012823063929693e-02
1.780000000000000027e+00 4.775216587933379941e-02
1.800000000000000044e+00 4.953944260010628015e-02
1.820000000000000062e+00 4.759722624220441567e-02
1.840000000000000080e+00 4.852362278627525560e-02
1.860000000000000098e+00 5.109112121018120206e-02
1.880000000000000115e+00 4.745714065649569990e-02
1.900000000000000133e+00 4.877441402864015479e-02
1.919999999999999929e+00 4.694532845334712517e-02
1.939999999999999947e+00 4.938317345576929279e-02
1.959999999999999964e+00 4.694999767084300640e-02
1.979999999999999982e+00 4.576717049257703063e-02
2.000000000000000000e+00 4.719238045038400692e-02
2.020000000000000018e+00 4.847970572312477328e-02
2.040000000000000036e+00 4.959060436841245673e-02
2.060000000000000053e+00 4.612042970495471711e-02
2.080000000000000071e+00 4.213985987154406782e-02
2.100000000000000089e+00 4.724747386667452198e-02
2.120000000000000107e+00 4.633113588602785771e-02
2.140000000000000124e+00 4.763324177742765675e-02
2.160000000000000142e+00 4.765765741085968565e-02
2.180000000000000160e+00 5.015015527520889915e-02
2.200000000000000178e+00 4.844836977676494905e-02
2.220000000000000195e+00 4.534736836719743813e-02
2.240000000000000213e+00 4.884812945289142977e-02
2.260000000000000231e+00 4.385894289774015103e-02
2.280000000000000249e+00 4.342171193879950514e-02
2.300000000000000266e+00 4.546088436306473801e-02
2.319999999999999840e+00 4.547661562230908422e-02
2.339999999999999858e+00 4.534954020652034318e-02
2.359999999999999876e+00 4.409537112266813386e-02
2.379999999999999893e+00 4.381610543759099224e-02
2.399999999999999911e+00 4.337167220468150786e-02
2.419999999999999929e+00 4.253006954226500741e-02
2.439999999999999947e+00 4.539684605871739664e-02
2.459999999999999964e+00 4.509455139092505976e-02
2.479999999999999982e+00 4.203474107286973849e-02
2.500000000000000000e+00 4.244558475643600559e-02
2.520000000000000018e+00 3.971438071158954475e-02
2.540000000000000036e+00 3.905282879640966515e-02
2.560000000000000053e+00 4.323297367506834243e-02
2.580000000000000071e+00 4.549953999951714817e-02
2.600000000000000089e+00 4.518106501829854266e-02
2.620000000000000107e+00 4.318713387028083606e-02
2.640000000000000124e+00 4.673866625648508133e-02
2.660000000000000142e+00 4.404597084082274155e-02
2.680000000000000160e+00 4.721918553638596028e-02
2.700000000000000178e+00 4.509660057788179854e-02
2.720000000000000195e+00 4.790408017116037920e-02
2.740000000000000213e+00 5.026141763713869864e-02
2.760000000000000231e+00 4.740140241255287601e-02
2.780000000000000249e+00 4.800419409792314879e-02
2.800000000000000266e+00 4.811421703829943386e-02
2.819999999999999840e+00 4.673800133947302732e-02
2.839999999999999858e+00 4.882236248430230074e-02
2.859999999999999876e+00 4.802126080222277743e-02
2.879999999999999893e+00 4.788412165678499616e-02
2.899999999999999911e+00 4.435839998475119006e-02
2.919999999999999929e+00 4.156053171511984307e-02
2.939999999999999947e+00 4.420265805697779632e-02
2.959999999999999964e+00 4.369916566287987414e-02
2.979999999999999982e+00 4.312931711838776522e-02
3.000000000000000000e+00 4.020397321476604918e-02
3.020000000000000018e+00 4.074701289690746409e-02
3.040000000000000036e+00 4.037953256875206204e-02
3.060000000000000053e+00 4.095790846846521921e-02
3.080000000000000071e+00 4.391069849129799335e-02
3.100000000000000089e+00 4.277006532010019235e-02
3.120000000000000107e+00 4.116637440700669087e-02
3.140000000000000124e+00 4.491906511639243843e-02
3.160000000000000142e+00 4.006300179058193411e-02
3.180000000000000160e+00 4.509561240208091043e-02
3.200000000000000178e+00 4.555264286869532137e-02
3.220000000000000195e+00 4.376809612439743619e-02
3.240000000000000213e+00 4.711504646338360303e-02
3.260000000000000231e+00 4.345639785178261744e-02
3.280000000000000249e+00 4.208702642464235560e-02
3.300000000000000266e+00 4.191673762383914259e-02
3.320000000000000284e+00 4.312016313124017453e-02
3.339999999999999858e+00 4.518535914285633920e-02
3.359999999999999876e+00 4.164546301935987543e-02
3.379999999999999893e+00 4.434619657622908967e-02
3.399999999999999911e+00 4.269681678898629845e-02
3.419999999999999929e+00 4.134663174064480418e-02
3.439999999999999947e+00 4.008082426127948517e-02
3.459999999999999964e+00 3.678814972891677332e-02
3.479999999999999982e+00 4.017383067319386936e-02
3.500000000000000000e+00 4.133997450736932866e-02
3.520000000000000018e+00 3.756846276194069495e-02
3.540000000000000036e+00 3.904722560930951741e-02
3.560000000000000053e+00 4.156902944794695770e-02
3.580000000000000071e+00 4.195069570008789356e-02
3.600000000000000089e+00 4.083537658540510595e-02
3.620000000000000107e+00 4.212629825803621691e-02
3.640000000000000124e+00 4.117302458015272004e-02
3.660000000000000142e+00 3.719940373346578011e-02
3.680000000000000160e+00 4.060456927639331803e-02
3.700000000000000178e+00 4.111023947633901665e-02
3.720000000000000195e+00 4.010637341677111140e-02
3.740000000000000213e+00 4.207781028146104219e-02
3.760000000000000231e+00 4.232070662633594799e-02
3.780000000000000249e+00 3.924779356296963923e-02
3.800000000000000266e+00 4.331403847385590505e-02
3.820000000000000284e+00 4.038584729215424080e-02
3.839999999999999858e+00 3.907888855793847233e-02
3.859999999999999876e+00 3.825098917753695649e-02
3.879999999999999893e+00 3.979639511613854153e-02
3.899999999999999911e+00 4.039199037910064238e-02
3.919999999999999929e+00 3.602945580483890575e-02
3.939999999999999947e+00 3.784955067350025820e-02
3.959999999999999964e+00 3.838966976805292114e-02
3.979999999999999982e+00 4.033358640949485929e-02
4.000000000000000000e+00 4.311961120215124232e-02
4.020000000000000462e+00 4.006740085284123815e-02
4.040000000000000036e+00 3.843233785244381390e-02
4.060000000000000497e+00 3.814671628048579843e-02
4.080000000000000071e+00 3.781734195880821769e-02
4.099999999999999645e+00 4.268765214390996682e-02
4.120000000000000107e+00 3.953264267614915728e-02
4.139999999999999680e+00 4.304838429358099489e-02
4.160000000000000142e+00 3.837082411789172198e-02
4.179999999999999716e+00 4.113629795602193051e-02
4.200000000000000178e+00 3.910490911937192920e-02
4.219999999999999751e+00 3.909855212585995610e-02
4.240000000000000213e+00 4.363391297629155147e-02
4.259999999999999787e+00 4.125007508458358035e-02
4.280000000000000249e+00 4.415172962368714427e-02
4.299999999999999822e+00 4.356186589960436839e-02
4.320000000000000284e+00 4.294426964300206151e-02
4.339999999999999858e+00 4.324141004806569127e-02
4.360000000000000320e+00 4.177788138231286474e-02
4.379999999999999893e+00 4.076559104231470415e-02
4.400000000000000355e+00 4.082444135176379468e-02
4.419999999999999929e+00 3.994048141918969674e-02
4.440000000000000391e+00 3.435242454812412194e-02
4.459999999999999964e+00 3.838846381814051828e-02
4.480000000000000426e+00 3.626326338276871647e-02
4.500000000000000000e+00 3.975918831677219961e-02
4.520000000000000462e+00 3.294415177506087450e-02
4.540000000000000036e+00 4.178342109174188607e-02
4.560000000000000497e+00 4.160953080624731071e-02
4.580000000000000071e+00 3.964619100707938298e-02
4.600000000000000533e+00 3.923114127732860168e-02
4.620000000000000107e+00 3.948556175902858539e-02
4.639999999999999680e+00 3.689989840473287958e-02
4.660000000000000142e+00 3.477677160546766011e-02
4.679999999999999716e+00 3.778928703688608920e-02
4.700000000000000178e+00 3.741023713711333354e-02
4.719999999999999751e+00 3.710241885617029250e-02
4.740000000000000213e+00 3.639271239640667205e-02
4.759999999999999787e+00 3.822813304161084419e-02
4.780000000000000249e+00 3.989118870886201873e-02
4.799999999999999822e+00 3.722617132067625179e-02
4.820000000000000284e+00 3.624331104244411100e-02
4.839999999999999858e+00 3.673534033474502164e-02
4.860000000000000320e+00 3.372687935016215749e-02
4.879999999999999893e+00 3.488892783238567441e-02
4.900000000000000355e+00 3.752501300853295502e-02
4.919999999999999929e+00 3.968039499420048660e-02
4.940000000000000391e+00 3.341516037620148594e-02
4.959999999999999964e+00 3.513360656568784157e-02
4.980000000000000426e+00 3.499378030171597376e-02
