dt_ps,MSD_A2,SEM
6.200000000000000000e+02,1.003042426904861145e+03,2.175809452596885851e+00
6.400000000000000000e+02,9.992439283486638715e+02,2.176567691411061212e+00
6.600000000000000000e+02,9.981033902656067767e+02,2.172442735936769509e+00
6.800000000000000000e+02,9.964130201751415825e+02,2.179425831959431292e+00
7.000000000000000000e+02,9.959317607639694643e+02,2.174339927017961749e+00
7.200000000000000000e+02,9.966095059110252805e+02,2.184950432025578593e+00
7.400000000000000000e+02,1.000609381169733410e+03,2.189342141778475970e+00
7.600000000000000000e+02,9.961623416516506495e+02,2.187953447883115299e+00
7.800000000000000000e+02,9.985806484288882530e+02,2.184672803995737045e+00
8.000000000000000000e+02,9.983026962201932974e+02,2.186640194536745518e+00
8.200000000000000000e+02,1.002304057561905324e+03,2.200627320398189202e+00
8.400000000000000000e+02,1.000528247435847561e+03,2.197049462186844160e+00
8.600000000000000000e+02,9.996443548761600368e+02,2.195326710931769121e+00
8.800000000000000000e+02,9.973992262496732337e+02,2.203534139611948994e+00
9.000000000000000000e+02,9.994406014248127121e+02,2.209754961631420933e+00
9.200000000000000000e+02,1.000959976086581264e+03,2.206810000756861623e+00
9.400000000000000000e+02,9.980343489221731943e+02,2.210856112395893636e+00
9.600000000000000000e+02,9.980622976403039956e+02,2.212495352494635359e+00
9.800000000000000000e+02,9.985823771629834482e+02,2.215622249119543419e+00
1.000000000000000000e+03,9.972449582008376865e+02,2.218115047027443776e+00
1.020000000000000000e+03,1.002159732760018414e+03,2.223123103607171025e+00
1.040000000000000000e+03,9.980885076559393383e+02,2.226005039311053313e+00
1.060000000000000000e+03,9.943173622773344960e+02,2.226843382776906743e+00
1.080000000000000000e+03,9.981380784115432334e+02,2.230306991639029679e+00
1.100000000000000000e+03,9.996961694291792355e+02,2.234374694600508082e+00
1.120000000000000000e+03,9.985771435645669953e+02,2.232516466344127259e+00
1.140000000000000000e+03,9.991785683381045828e+02,2.236007543863040237e+00
1.160000000000000000e+03,9.949266757603985525e+02,2.240337488423855827e+00
1.180000000000000000e+03,9.985404436483759127e+02,2.243742496269594433e+00
1.200000000000000000e+03,9.983907363557993904e+02,2.242674732173152385e+00
1.220000000000000000e+03,9.983796178467429172e+02,2.247277712430338248e+00
1.240000000000000000e+03,1.000582885489058981e+03,2.244905112372308054e+00
1.260000000000000000e+03,9.976795307378683901e+02,2.256472784011081423e+00
1.280000000000000000e+03,1.001503654094941908e+03,2.254063163706057527e+00
1.300000000000000000e+03,1.003649767804319936e+03,2.255179198326331846e+00
1.320000000000000000e+03,1.001497489561768589e+03,2.252307458008160790e+00
1.340000000000000000e+03,1.002482962201101714e+03,2.258677637563889729e+00
1.360000000000000000e+03,1.002203990541272333e+03,2.265816583338161827e+00
1.380000000000000000e+03,1.002337077100613897e+03,2.262549896028981600e+00
1.400000000000000000e+03,1.000992948501800697e+03,2.270251522724750615e+00
1.420000000000000000e+03,1.000017464468522235e+03,2.272203136260670941e+00
1.440000000000000000e+03,1.001275269081353258e+03,2.279491486638046016e+00
1.460000000000000000e+03,1.003337505262665900e+03,2.277780680206517250e+00
1.480000000000000000e+03,1.001759398203713658e+03,2.277366441112707474e+00
1.500000000000000000e+03,1.003282039240441350e+03,2.284569118587415293e+00
1.520000000000000000e+03,9.985019471470727694e+02,2.281647065225007154e+00
1.540000000000000000e+03,9.997742267332652091e+02,2.293374837541054312e+00
1.560000000000000000e+03,9.993337969761109889e+02,2.285663878098256774e+00
1.580000000000000000e+03,1.002623571451247813e+03,2.304367051295439950e+00
1.600000000000000000e+03,1.003127077361212514e+03,2.300083751842483704e+00
1.620000000000000000e+03,1.005460333851426071e+03,2.298837558147747817e+00
1.640000000000000000e+03,1.002795031320382805e+03,2.305202206277938703e+00
1.660000000000000000e+03,1.003070932377772237e+03,2.302700759356467675e+00
1.680000000000000000e+03,9.980138145048132401e+02,2.305410045085371173e+00
1.700000000000000000e+03,1.000374588567963769e+03,2.303268448505979116e+00
1.720000000000000000e+03,1.002778281891829238e+03,2.315073942062219281e+00
1.740000000000000000e+03,1.003896240487739760e+03,2.320930641620672308e+00
1.760000000000000000e+03,1.001496714937264755e+03,2.315182938182202665e+00
1.780000000000000000e+03,1.002805063573664938e+03,2.323304209427735856e+00
1.800000000000000000e+03,9.997908635876520975e+02,2.327377212417782726e+00
1.820000000000000000e+03,1.004273871329318695e+03,2.327330821817776840e+00
1.840000000000000000e+03,1.003592335320684583e+03,2.326176322748706671e+00
1.860000000000000000e+03,9.972133956092058042e+02,2.332043426951659004e+00
1.880000000000000000e+03,1.005466063711295078e+03,2.333709666335537225e+00
1.900000000000000000e+03,1.002119548575694466e+03,2.333814171169049434e+00
1.920000000000000000e+03,1.003835545921193784e+03,2.348527046873832180e+00
1.940000000000000000e+03,9.981709790128710438e+02,2.341480251744635588e+00
1.960000000000000000e+03,1.004082707067482033e+03,2.341934923587617234e+00
1.980000000000000000e+03,1.003289489650906830e+03,2.346254598920860079e+00
2.000000000000000000e+03,1.003925183767124850e+03,2.347751101894680836e+00
2.020000000000000000e+03,1.005996342692158350e+03,2.361402405595590004e+00
2.040000000000000000e+03,1.009937060397559549e+03,2.364141650113046111e+00
2.060000000000000000e+03,1.008829131476042107e+03,2.357079389010860115e+00
2.080000000000000000e+03,1.009240356531107750e+03,2.368013366116088037e+00
2.100000000000000000e+03,1.009808930983708251e+03,2.378830730700081553e+00
2.120000000000000000e+03,1.008412206670965020e+03,2.374615289503349658e+00
2.140000000000000000e+03,1.003370032328310344e+03,2.377788727446385586e+00
2.160000000000000000e+03,1.004429006740948239e+03,2.390513529926499015e+00
2.180000000000000000e+03,1.006207252234731300e+03,2.389122360804447620e+00
2.200000000000000000e+03,1.007215409574352748e+03,2.381819887196184204e+00
2.220000000000000000e+03,1.004208414358767527e+03,2.383645032511660489e+00
2.240000000000000000e+03,1.004930539614726740e+03,2.390370190877679324e+00
2.260000000000000000e+03,1.012183285274200443e+03,2.395929657913344890e+00
2.280000000000000000e+03,1.010501331947099175e+03,2.389985311289319458e+00
2.300000000000000000e+03,1.010482927222064177e+03,2.406528502008332460e+00
2.320000000000000000e+03,1.011244513418509086e+03,2.404803872545613341e+00
2.340000000000000000e+03,1.006765155752057240e+03,2.409049062019677390e+00
2.360000000000000000e+03,1.009281371852736356e+03,2.421890885267424132e+00
2.380000000000000000e+03,1.006984883037043346e+03,2.419773572685831375e+00
2.400000000000000000e+03,1.015702554421717196e+03,2.429907340392572834e+00
2.420000000000000000e+03,1.010237118620043589e+03,2.420862361343539604e+00
2.440000000000000000e+03,1.009023229318586459e+03,2.427021867240032105e+00
2.460000000000000000e+03,1.011777104258694635e+03,2.429674669477179805e+00
2.480000000000000000e+03,1.015696121097111359e+03,2.434281892492132116e+00
2.500000000000000000e+03,1.009891890535680886e+03,2.428157716300676228e+00
2.520000000000000000e+03,1.011296235930566127e+03,2.432264851095984337e+00
2.540000000000000000e+03,1.013491815414430675e+03,2.447689316879249510e+00
2.560000000000000000e+03,1.013749511543166591e+03,2.451143903485260900e+00
2.580000000000000000e+03,1.013082980468109440e+03,2.453657126508365760e+00
2.600000000000000000e+03,1.011662341138683018e+03,2.450175100254647464e+00
2.620000000000000000e+03,1.009699293660191188e+03,2.456747506687974258e+00
2.640000000000000000e+03,1.011525721978350930e+03,2.466542963690506074e+00
2.660000000000000000e+03,1.012681785355488500e+03,2.465551506927842862e+00
2.680000000000000000e+03,1.010409567342702871e+03,2.470664796010503927e+00
2.700000000000000000e+03,1.012745340419289846e+03,2.477337054268232475e+00
2.720000000000000000e+03,1.015218765688184703e+03,2.475840284352083920e+00
2.740000000000000000e+03,1.008633357114583305e+03,2.476955348109571187e+00
2.760000000000000000e+03,1.012849431050105864e+03,2.489626376679197950e+00
2.780000000000000000e+03,1.010126565624726936e+03,2.490365361972525005e+00
2.800000000000000000e+03,1.010207236150804192e+03,2.487186337248333601e+00
2.820000000000000000e+03,1.010997884495889480e+03,2.496349522604916604e+00
2.840000000000000000e+03,1.008464632898061268e+03,2.495463469489213715e+00
2.860000000000000000e+03,1.007749540003477364e+03,2.503168077855864926e+00
2.880000000000000000e+03,1.012236274420839322e+03,2.508539186720020187e+00
2.900000000000000000e+03,1.008270715342114499e+03,2.504260932617565771e+00
2.920000000000000000e+03,1.014377328124899464e+03,2.507354114420879299e+00
2.940000000000000000e+03,1.013760992784562063e+03,2.516045812358909117e+00
2.960000000000000000e+03,1.015326827003192648e+03,2.517556261889628999e+00
2.980000000000000000e+03,1.016285424662020432e+03,2.522787864864217244e+00
3.000000000000000000e+03,1.014842067835455055e+03,2.517578298247066471e+00
3.020000000000000000e+03,1.012606505844588582e+03,2.525751185515528796e+00
3.040000000000000000e+03,1.013902840894629207e+03,2.535194066134893731e+00
3.060000000000000000e+03,1.015824426160370194e+03,2.544623158476429392e+00
3.080000000000000000e+03,1.010603547679377584e+03,2.542665476459003315e+00
3.100000000000000000e+03,1.011072791300640802e+03,2.541062167512193604e+00
3.120000000000000000e+03,1.015139796724748635e+03,2.547217857073355241e+00
3.140000000000000000e+03,1.008900503559385015e+03,2.552921045794868782e+00
3.160000000000000000e+03,1.015270556921999287e+03,2.562119647182317550e+00
3.180000000000000000e+03,1.011428991173830468e+03,2.555169566125918834e+00
3.200000000000000000e+03,1.015132024736430481e+03,2.569435386870836169e+00
