# time_ns temp_K pressure_bar volume_A3 kinetic potential total
1.479999999999999982e+00 2.086391000000000133e+02 -3.264359000000000037e+02 2.521101701999999932e+05 1.292699250000000029e+04 -5.525177990000000136e+04 -4.232478740000000107e+04
1.500000000000000000e+00 2.118744000000000085e+02 -3.637493000000000052e+02 2.519569103999999934e+05 1.312744720000000052e+04 -5.512687739999999758e+04 -4.199943020000000251e+04
1.520000000000000018e+00 2.082450000000000045e+02 -1.572686999999999955e+02 2.531708122999999905e+05 1.290257610000000022e+04 -5.502439510000000155e+04 -4.212181900000000314e+04
1.540000000000000036e+00 2.110134999999999934e+02 -6.796620000000000346e+02 2.525773066999999864e+05 1.307410419999999976e+04 -5.514285480000000098e+04 -4.206875059999999939e+04
1.559999999999999831e+00 2.089977000000000089e+02 -3.030878000000000156e+02 2.523138985000000102e+05 1.294920850000000064e+04 -5.514490810000000056e+04 -4.219569959999999992e+04
1.579999999999999849e+00 2.088555000000000064e+02 -3.355819999999999936e+01 2.524396808000000019e+05 1.294039969999999994e+04 -5.515013120000000345e+04 -4.220973150000000169e+04
1.599999999999999867e+00 2.076868000000000052e+02 -1.649604999999999961e+02 2.518644467000000004e+05 1.286799049999999988e+04 -5.523208269999999902e+04 -4.236409219999999914e+04
1.619999999999999885e+00 2.090335000000000036e+02 2.336250000000000071e+01 2.525048060999999871e+05 1.295142729999999938e+04 -5.515889579999999842e+04 -4.220746850000000268e+04
1.639999999999999902e+00 2.082024000000000115e+02 8.120200000000000529e+00 2.521849751000000106e+05 1.289993519999999990e+04 -5.533807540000000154e+04 -4.243814020000000164e+04
1.659999999999999920e+00 2.102372000000000014e+02 -2.202630000000000052e+02 2.526993941000000050e+05 1.302600629999999910e+04 -5.519175860000000102e+04 -4.216575230000000010e+04
1.679999999999999938e+00 2.097790999999999997e+02 -6.643840000000000146e+01 2.519621332000000111e+05 1.299762769999999909e+04 -5.509997800000000279e+04 -4.210235029999999824e+04
1.699999999999999956e+00 2.097752999999999872e+02 -5.437791999999999462e+02 2.525279329999999900e+05 1.299738689999999951e+04 -5.496182250000000204e+04 -4.196443549999999959e+04
1.719999999999999973e+00 2.088899999999999864e+02 -1.304428000000000054e+02 2.525552838000000047e+05 1.294253789999999935e+04 -5.517347879999999714e+04 -4.223094090000000142e+04
