2.000000000000000000e+01,9.942266732010701844e+02,1.024932041737079544e+03,8.922457211097287200e+02,7.152134724431251698e+02,5.416771613560385958e+02
4.000000000000000000e+01,1.019465522134665434e+03,1.056632664324439929e+03,9.199860499078675957e+02,7.414164296226671240e+02,5.635173011592111152e+02
6.000000000000000000e+01,1.029583082848953609e+03,1.069604664697923226e+03,9.296151835026620347e+02,7.416534968184091667e+02,5.743015530603465777e+02
8.000000000000000000e+01,1.056549766276110859e+03,1.081466555149253963e+03,9.439258244092054611e+02,7.561362446397206440e+02,5.642032918123269383e+02
1.000000000000000000e+02,1.051973259346302939e+03,1.079652403229777519e+03,9.419863807995462821e+02,7.506270417730253257e+02,5.631526093329539435e+02
1.200000000000000000e+02,1.059368063839549677e+03,1.101714294312729407e+03,9.595485297283519230e+02,7.676632434151655389e+02,5.615487393450929403e+02
1.400000000000000000e+02,1.060695665062369699e+03,1.102319279319547377e+03,9.593668099175678208e+02,7.672798610437738489e+02,5.975741395848707498e+02
1.600000000000000000e+02,1.061895765591152667e+03,1.101184001259517572e+03,9.637609928225574549e+02,7.673396134323583055e+02,5.783939289337774881e+02
1.800000000000000000e+02,1.055175722805284067e+03,1.094305188173967736e+03,9.614233873189976975e+02,7.649233776125939812e+02,5.691568617871573679e+02
2.000000000000000000e+02,1.060317076828484460e+03,1.114424111397428987e+03,9.703917306788092674e+02,7.651697045007055067e+02,5.708115858810317604e+02
2.200000000000000000e+02,1.056265968352947311e+03,1.117803624755480541e+03,9.668972736197964650e+02,7.663936385211223978e+02,5.672461916934373676e+02
2.400000000000000000e+02,1.081060083095988148e+03,1.109416467784389170e+03,9.722359358066288451e+02,7.696340372907284291e+02,5.625946932211165858e+02
2.600000000000000000e+02,1.063375640697191784e+03,1.114504664528980811e+03,9.770595912646419947e+02,7.691219178190788170e+02,5.841197896593711221e+02
2.800000000000000000e+02,1.071489619321600685e+03,1.123485239777628294e+03,9.724475306926981375e+02,7.694649315677136201e+02,5.872541347647849079e+02
3.000000000000000000e+02,1.077877571747791080e+03,1.124781953948030150e+03,9.759753223502017363e+02,7.630814232661878123e+02,5.787977893947916073e+02
3.200000000000000000e+02,1.072175445712122837e+03,1.131668178919157754e+03,9.784186410816809030e+02,7.709157371019373386e+02,5.769318768014053376e+02
3.400000000000000000e+02,1.079300274668288694e+03,1.123908518060763754e+03,9.818927069916397841e+02,7.783221025115180964e+02,5.714815947170549180e+02
3.600000000000000000e+02,1.077796204468463884e+03,1.125300531068809505e+03,9.804574432461572542e+02,7.777022112184513389e+02,5.826160086235726112e+02
3.800000000000000000e+02,1.070855428999631158e+03,1.126421482520892823e+03,9.752661489094232365e+02,7.747164720809738583e+02,5.851420081304499945e+02
4.000000000000000000e+02,1.065473997619745433e+03,1.122217431361790432e+03,9.768976305399194189e+02,7.736560180032106473e+02,5.939285436025747913e+02
4.200000000000000000e+02,1.074981132577994458e+03,1.125981778367683091e+03,9.834614474167129856e+02,7.770361117079138467e+02,5.757024025408404668e+02
4.400000000000000000e+02,1.064724615678616829e+03,1.125914373067503448e+03,9.825953738433133822e+02,7.759343407749055359e+02,5.871393899394595337e+02
4.600000000000000000e+02,1.045972271706322545e+03,1.131764989014928233e+03,9.879309226135957260e+02,7.790914044419595257e+02,5.741168764335817514e+02
4.800000000000000000e+02,1.072224404528762079e+03,1.129393961783963732e+03,9.829113944178670863e+02,7.769142881184118323e+02,5.756415771272235133e+02
5.000000000000000000e+02,1.058081644674507743e+03,1.131261454907211146e+03,9.848246158086510604e+02,7.722581201497116581e+02,5.810619500764088343e+02
5.200000000000000000e+02,1.067905453214218369e+03,1.125641692980279458e+03,9.911694853018666436e+02,7.803189453437265684e+02,5.685238577123913046e+02
5.400000000000000000e+02,1.061158234427178741e+03,1.135677930112241938e+03,9.880154753160373957e+02,7.825040751347859214e+02,5.837246245127981865e+02
5.600000000000000000e+02,1.072385163012881094e+03,1.131072316641637599e+03,9.819010333753116129e+02,7.810063409456809040e+02,5.973317664441144643e+02
5.800000000000000000e+02,1.079835290280989057e+03,1.125100923234230322e+03,9.891421315561116216e+02,7.748054363256221677e+02,5.678361187737890532e+02
6.000000000000000000e+02,1.060404716913935999e+03,1.136396892279001122e+03,9.918570212251597695e+02,7.795052741310880720e+02,5.761936626186809463e+02
6.200000000000000000e+02,1.075705018560161307e+03,1.139271404780691228e+03,9.941507717038034571e+02,7.859047979752566562e+02,5.902890311775275904e+02
6.400000000000000000e+02,1.073303955157555038e+03,1.135125714004011797e+03,9.885197137366999414e+02,7.876396123911299583e+02,5.591274503997120746e+02
6.600000000000000000e+02,1.061729377681149572e+03,1.132455183445920056e+03,9.888276549268962299e+02,7.864604284461751149e+02,5.863799962559575079e+02
6.800000000000000000e+02,1.065620609091399047e+03,1.125115648521633602e+03,9.916482949861989482e+02,7.809575896624671714e+02,5.863672506295716857e+02
7.000000000000000000e+02,1.078221315439769796e+03,1.131772310185308470e+03,9.863383917284368181e+02,7.768205504905681664e+02,5.877248182661965075e+02
7.200000000000000000e+02,1.070265062180632640e+03,1.130956432589826591e+03,9.894815322025730211e+02,7.764085590495719771e+02,5.747379254512471789e+02
7.400000000000000000e+02,1.097153077299127290e+03,1.134135727004653518e+03,9.928860789551052903e+02,7.789420204885469730e+02,5.626651747045165166e+02
7.600000000000000000e+02,1.069497201040310756e+03,1.127040748413993470e+03,9.906973120805154167e+02,7.769801604880195782e+02,5.783554035161075717e+02
7.800000000000000000e+02,1.062857050378048825e+03,1.131018738410304877e+03,9.924870720513295055e+02,7.800771129767399543e+02,5.795085036174166362e+02
8.000000000000000000e+02,1.071903107139016356e+03,1.133819651342964107e+03,9.898841727488215838e+02,7.783143861814161255e+02,5.919253522772903580e+02
8.200000000000000000e+02,1.050177253142174095e+03,1.140808450249674706e+03,9.955123713714069709e+02,7.805827665825598842e+02,5.770108527236548071e+02
8.400000000000000000e+02,1.075242266573088045e+03,1.131799391245892593e+03,9.949439816463901707e+02,7.827450482302031105e+02,5.745380255240038423e+02
8.600000000000000000e+02,1.065216451374667713e+03,1.137289050265482956e+03,9.922414403228895026e+02,7.772004646775160381e+02,5.737171795496051345e+02
8.800000000000000000e+02,1.052540245752650435e+03,1.133123472943984325e+03,9.895751709120604573e+02,7.828666641911439683e+02,5.712814322606147925e+02
9.000000000000000000e+02,1.068246578048893525e+03,1.135079286612108945e+03,9.901496333171982087e+02,7.835721653020522126e+02,5.828232821880683332e+02
9.200000000000000000e+02,1.074265983834452072e+03,1.137784383517094057e+03,9.916612686689620659e+02,7.840978831046619462e+02,5.747074079874763584e+02
9.400000000000000000e+02,1.048093093459752254e+03,1.133527135415634575e+03,9.914693738594594379e+02,7.804043226807322071e+02,5.813760014358477974e+02
9.600000000000000000e+02,1.076225167220494995e+03,1.128720747245014081e+03,9.895869194833679785e+02,7.872712053929358262e+02,5.883536625531279469e+02
9.800000000000000000e+02,1.062298559091236939e+03,1.128227644103857074e+03,9.940166770019928890e+02,7.826860129087170890e+02,5.895657897397770739e+02
1.000000000000000000e+03,1.065377104403601152e+03,1.128659561549535056e+03,9.921406013893836189e+02,7.774251721369746519e+02,5.912946990704867858e+02
1.020000000000000000e+03,1.079967375335318138e+03,1.135310816533027037e+03,9.944949213393142600e+02,7.858383865606136851e+02,5.716558218770006761e+02
1.040000000000000000e+03,1.068323383192417168e+03,1.130550786894890280e+03,9.902449955992284458e+02,7.836994322915858220e+02,5.891344988797601445e+02
1.060000000000000000e+03,1.070068798092564975e+03,1.127665026061356684e+03,9.864646325807480025e+02,7.774299377466451233e+02,5.857270035133727788e+02
1.080000000000000000e+03,1.084324274541965906e+03,1.130325462583637773e+03,9.913411465568771064e+02,7.768621127928944361e+02,5.854271572672435013e+02
1.100000000000000000e+03,1.076937838626028679e+03,1.133173106336201045e+03,9.912635209349135721e+02,7.833046895371657001e+02,5.974262812993672469e+02
1.120000000000000000e+03,1.088043121185239670e+03,1.134058490210498121e+03,9.886250091559942348e+02,7.801432793497109515e+02,5.816313900895364668e+02
1.140000000000000000e+03,1.078403277940872158e+03,1.133058908067250741e+03,9.907298726675257967e+02,7.827407461986779253e+02,5.763557883084145033e+02
1.160000000000000000e+03,1.082733861134172457e+03,1.125940019726212768e+03,9.892212198271010948e+02,7.764906290770941268e+02,5.520132630614593836e+02
1.180000000000000000e+03,1.097402768885021260e+03,1.128825891081385862e+03,9.919522575833844940e+02,7.783240897827681692e+02,5.819777589003662115e+02
1.200000000000000000e+03,1.068835180296128101e+03,1.139739290643141658e+03,9.864580266652469618e+02,7.797743570267036830e+02,5.730700308645592713e+02
1.220000000000000000e+03,1.083690347636363867e+03,1.129344318682293761e+03,9.903196663923296228e+02,7.832813115523805436e+02,5.748646759917381814e+02
1.240000000000000000e+03,1.073321750922824322e+03,1.134606656896398817e+03,9.911724412662891837e+02,7.856199318945016330e+02,5.987427851054064831e+02
1.260000000000000000e+03,1.069329702045979957e+03,1.136560928137376550e+03,9.837636808714624976e+02,7.868017124317834714e+02,5.894434486480001851e+02
1.280000000000000000e+03,1.079639378323473466e+03,1.133255710793349408e+03,9.933306014688030245e+02,7.874365263610943657e+02,5.767977619429468632e+02
1.300000000000000000e+03,1.090878599461457497e+03,1.137251615920275981e+03,9.966268881488625766e+02,7.794052634637332631e+02,5.938926071904282935e+02
